model,split,n,mse,pearson,spearman,top_k,top_k_hit_rate,true_top_k_mean,predicted_top_k_true_mean
train_mean_baseline,validation,3181,9.438860994698118,-1.1142120462961072e-16,,10,0.0,6.278738336029,-1.9635246855094834
train_mean_baseline,test,50776,12.793860649235963,-2.144834293309318e-16,,10,0.0,7.5132458906920006,-0.8055769638349753
one_hot_ridge,validation,3181,2.624629256525819,0.8497453549765194,0.8202501251697912,10,0.0,6.278738336029,2.6540804178202997
one_hot_ridge,test,50776,59.57036066353472,-0.032208150562285646,0.005996346847613078,10,0.0,7.5132458906920006,-3.5519817499157
esm2_mlp_fitness_head,validation,3181,2.020192697784754,0.8882390423921639,0.8357876779638478,10,0.2,6.278738336029,3.506536468639468
esm2_mlp_fitness_head,test,50776,5.565471684590143,0.6172659740625094,0.6160877979389137,10,0.0,7.5132458906920006,-3.2196868338816005
